,Month,officialnamestate,RainProportion
0,1,New South Wales,18.768999867204915
1,1,Queensland,46.89758257474425
2,1,South Australia,4.2176023617972485
3,1,Tasmania,2.689390275396862
4,1,Territories,13.16813671838632
5,1,Victoria,6.380389729468107
6,1,Western Australia,7.8778984730023
7,2,New South Wales,22.532051304545334
8,2,Queensland,45.306801944123436
9,2,South Australia,3.8235001761319527
10,2,Tasmania,2.694119395648098
11,2,Territories,11.631713360966563
12,2,Victoria,6.039536942563655
13,2,Western Australia,7.972276876020963
14,3,New South Wales,25.776022305585222
15,3,Queensland,44.3645187894627
16,3,South Australia,3.105817233282992
17,3,Tasmania,3.560027134850119
18,3,Territories,8.427117593243032
19,3,Victoria,6.480052431436024
20,3,Western Australia,8.286444512139916
21,4,New South Wales,25.84573761598668
22,4,Queensland,30.100469194624637
23,4,South Australia,8.515491237815358
24,4,Tasmania,5.689538375742878
25,4,Territories,6.592802855755604
26,4,Victoria,13.242332382889932
27,4,Western Australia,10.013628337184908
28,5,New South Wales,24.059420191301406
29,5,Queensland,23.883427689718623
30,5,South Australia,10.335209385568941
31,5,Tasmania,8.023346168517515
32,5,Territories,2.031535721708939
33,5,Victoria,15.429409971677343
34,5,Western Australia,16.23765087150724
35,6,New South Wales,30.400395716714662
36,6,Queensland,16.6336734086092
37,6,South Australia,10.633927266509808
38,6,Tasmania,7.522423110208082
39,6,Territories,1.0651624428483992
40,6,Victoria,15.968097050335677
41,6,Western Australia,17.776321004774168
42,7,New South Wales,24.553551121958936
43,7,Queensland,19.04738149285899
44,7,South Australia,10.703097386643671
45,7,Tasmania,8.683575055056759
46,7,Territories,0.8658966015303892
47,7,Victoria,15.712968422530997
48,7,Western Australia,20.43352991942026
49,8,New South Wales,26.724339200030546
50,8,Queensland,12.953154148714656
51,8,South Australia,12.491891636102046
52,8,Tasmania,9.47453020083518
53,8,Territories,0.5627283488133358
54,8,Victoria,18.953248275824077
55,8,Western Australia,18.84010818968016
56,9,New South Wales,30.69213040919776
57,9,Queensland,17.20637970193396
58,9,South Australia,11.154927262303879
59,9,Tasmania,8.249811814619939
60,9,Territories,1.7798803683840223
61,9,Victoria,18.655197910044443
62,9,Western Australia,12.261672533515998
63,10,New South Wales,32.4499524810888
64,10,Queensland,24.00757468060243
65,10,South Australia,8.424110508316428
66,10,Tasmania,7.331747412740532
67,10,Territories,3.066112265804554
68,10,Victoria,16.340276795723476
69,10,Western Australia,8.380225855723781
70,11,New South Wales,32.71516784184431
71,11,Queensland,29.65422012225312
72,11,South Australia,6.821516506181075
73,11,Tasmania,5.160573644946158
74,11,Territories,6.098384562783853
75,11,Victoria,12.826403389892263
76,11,Western Australia,6.72373393209923
77,12,New South Wales,23.569633563143142
78,12,Queensland,40.70158773912116
79,12,South Australia,5.020618321713969
80,12,Tasmania,3.8733481255702813
81,12,Territories,12.271402231505144
82,12,Victoria,8.638671166881025
83,12,Western Australia,5.924738852065283
