,officialnamestate,Month,variable,value
0,New South Wales,1,TemperatureMean,23.354618142017813
1,New South Wales,2,TemperatureMean,23.11714829059496
2,New South Wales,3,TemperatureMean,21.85947259378789
3,New South Wales,4,TemperatureMean,16.10581852925754
4,New South Wales,5,TemperatureMean,11.320614287097822
5,New South Wales,6,TemperatureMean,10.419023755237044
6,New South Wales,7,TemperatureMean,10.17082432089604
7,New South Wales,8,TemperatureMean,11.941666864217574
8,New South Wales,9,TemperatureMean,15.960422001933487
9,New South Wales,10,TemperatureMean,17.569790866475564
10,New South Wales,11,TemperatureMean,20.618010802784223
11,New South Wales,12,TemperatureMean,23.62837072586633
12,Queensland,1,TemperatureMean,26.06572038757216
13,Queensland,2,TemperatureMean,25.95676567150376
14,Queensland,3,TemperatureMean,25.722981569066214
15,Queensland,4,TemperatureMean,22.793911963929823
16,Queensland,5,TemperatureMean,17.96241576533786
17,Queensland,6,TemperatureMean,18.442518530477194
18,Queensland,7,TemperatureMean,17.09886467183701
19,Queensland,8,TemperatureMean,19.13269872544652
20,Queensland,9,TemperatureMean,21.79664236508772
21,Queensland,10,TemperatureMean,24.31477501599321
22,Queensland,11,TemperatureMean,25.627111372842105
23,Queensland,12,TemperatureMean,27.33092044563667
24,South Australia,1,TemperatureMean,23.616798475628816
25,South Australia,2,TemperatureMean,23.67021288475456
26,South Australia,3,TemperatureMean,20.81845988460992
27,South Australia,4,TemperatureMean,17.044683375110132
28,South Australia,5,TemperatureMean,13.390502290464688
29,South Australia,6,TemperatureMean,12.334732305433189
30,South Australia,7,TemperatureMean,11.321093558462412
31,South Australia,8,TemperatureMean,13.131781713073751
32,South Australia,9,TemperatureMean,16.89327582201175
33,South Australia,10,TemperatureMean,16.953046121500638
34,South Australia,11,TemperatureMean,20.10163272856094
35,South Australia,12,TemperatureMean,21.37033806181612
36,Tasmania,1,TemperatureMean,16.186326540552994
37,Tasmania,2,TemperatureMean,15.522564111451247
38,Tasmania,3,TemperatureMean,13.620974105529951
39,Tasmania,4,TemperatureMean,12.309221546574074
40,Tasmania,5,TemperatureMean,9.46631779966206
41,Tasmania,6,TemperatureMean,8.7848234116409
42,Tasmania,7,TemperatureMean,9.225718936620584
